arxiv_id	status	pdf_path	cited_by
2310.20651	pdf-only	pdf/2310/2310.20651v1.pdf	Optimization by Decoded Quantum Interferometry
2311.00811	pdf-only	pdf/2311/2311.00811v1.pdf	Adiabatic Algorithms
2311.03215	pdf-only	pdf/2311/2311.03215v3.pdf	Convex Optimization
2311.03408	pdf-only	pdf/2311/2311.03408v1.pdf	Machine Learning
2311.09207	pdf-only	pdf/2311/2311.09207v2.pdf	Preparing Eigenstates and Thermal States
2312.05371	pdf-only	pdf/2312/2312.05371v4.pdf	Simulating Quantum Hamiltonian Dynamics
2312.08867	pdf-only	pdf/2312/2312.08867v3.pdf	Simulating Quantum Hamiltonian Dynamics
2401.06240	pdf-only	pdf/2401/2401.06240v3.pdf	Solving Linear Differential Equations
2401.17255	pdf-only	pdf/2401/2401.17255v4.pdf	Simulating Quantum Hamiltonian Dynamics
2402.10362	pdf-only	pdf/2402/2402.10362v1.pdf	Simulating Quantum Hamiltonian Dynamics
2403.09187	pdf-only	pdf/2403/2403.09187v2.pdf	Double-bracket quantum algorithms
2405.14765	pdf-only	pdf/2405/2405.14765v2.pdf	Computing the Principal Eigenvector
2406.16023	pdf-only	pdf/2406/2406.16023v1.pdf	Preparing Eigenstates and Thermal States
2406.19378	pdf-only	pdf/2406/2406.19378v2.pdf	Optimization by Decoded Quantum Interferometry
2407.03833	pdf-only	pdf/2407/2407.03833v1.pdf	Gradient Estimation and Learning Polynomials
2407.06290	pdf-only	pdf/2407/2407.06290v1.pdf	Solving Linear Differential Equations
2407.17649	pdf-only	pdf/2407/2407.17649v5.pdf	Matrix Elements and Multiplicity Coefficients of Group Representations
2407.21775	pdf-only	pdf/2407/2407.21775v2.pdf	Solving Linear Differential Equations
2408.08292	pdf-only	pdf/2408/2408.08292v5.pdf	Optimization by Decoded Quantum Interferometry
2409.04550	pdf-only	pdf/2409/2409.04550v4.pdf	Solving Linear Differential Equations
2411.12553	pdf-only	pdf/2411/2411.12553v2.pdf	Optimization by Decoded Quantum Interferometry
2412.04554	pdf-only	pdf/2412/2412.04554v2.pdf	Double-bracket quantum algorithms
2501.12378	pdf-only	pdf/2501/2501.12378v2.pdf	Knot Invariants
2502.20253	pdf-only	pdf/2502/2502.20253v2.pdf	Matrix Elements and Multiplicity Coefficients of Group Representations
2503.12789	pdf-only	pdf/2503/2503.12789v2.pdf	Quantum Approximate Optimization
2504.01065	pdf-only	pdf/2504/2504.01065v1.pdf	Double-bracket quantum algorithms
2504.11049	pdf-only	pdf/2504/2504.11049v2.pdf	Estimating Determinants and Other Spectral Sums
2505.07929	pdf-only	pdf/2505/2505.07929v1.pdf	Quantum Approximate Optimization
2509.19966	pdf-only	pdf/2509/2509.19966v2.pdf	Optimization by Decoded Quantum Interferometry
2509.24796	pdf-only	pdf/2509/2509.24796v2.pdf	Optimization by Decoded Quantum Interferometry
2510.06097	pdf-only	pdf/2510/2510.06097v1.pdf	Optimization by Decoded Quantum Interferometry
2510.07298	pdf-only	pdf/2510/2510.07298v2.pdf	Optimization by Decoded Quantum Interferometry
2510.07913	pdf-only	pdf/2510/2510.07913v1.pdf	Optimization by Decoded Quantum Interferometry
2510.08061	pdf-only	pdf/2510/2510.08061v2.pdf	Optimization by Decoded Quantum Interferometry
cond-mat/0012334	not-in-raw		Simulating Quantum Hamiltonian Dynamics
cond-mat/9804280	not-in-raw		Adiabatic Algorithms
cs/0101004	pdf-only	pdf/0101/0101004v1.pdf	Group Isomorphism
cs/0304005	pdf-only	pdf/0304/0304005v1.pdf	Non-Abelian Hidden Subgroup; Optimization by Decoded Quantum Interferometry; Lattice Problems by Filtering
cs/0703129	pdf-only	pdf/0703/0703129v1.pdf	Weight Enumerators
math/0411623	not-in-raw		Zeta Functions
quant-ph/0005055	pdf-only	pdf/0005/0005055v1.pdf	Searching
quant-ph/0007016	pdf-only	pdf/0007/0007016v2.pdf	Graph Properties in the Adjacency Matrix Model; Collision Finding and Element Distinctness
quant-ph/0008059	pdf-only	pdf/0008/0008059v3.pdf	Hidden Shift
quant-ph/0008124	pdf-only	pdf/0008/0008124v3.pdf	Searching
quant-ph/0010077	pdf-only	pdf/0010/0010077v1.pdf	Searching
quant-ph/0011023	pdf-only	pdf/0011/0011023v2.pdf	Group Order and Membership
quant-ph/0011049	pdf-only	pdf/0011/0011049v1.pdf	Pattern matching
quant-ph/0011065	pdf-only	pdf/0011/0011065v2.pdf	Abelian Hidden Subgroup
quant-ph/0011067	pdf-only	pdf/0011/0011067v2.pdf	Hidden Shift
quant-ph/0102014	pdf-only	pdf/0102/0102014v1.pdf	Non-Abelian Hidden Subgroup
quant-ph/0102020	pdf-only	pdf/0102/0102020v1.pdf	Machine Learning
quant-ph/0102078	pdf-only	pdf/0102/0102078v2.pdf	Ordered Search
quant-ph/0104129	pdf-only	pdf/0104/0104129v1.pdf	Adiabatic Algorithms
quant-ph/0107015	pdf-only	pdf/0107/0107015v1.pdf	Adiabatic Algorithms
quant-ph/0108110	pdf-only	pdf/0108/0108110v2.pdf	Simulating Quantum Hamiltonian Dynamics
quant-ph/0201031	pdf-only	pdf/0201/0201031v1.pdf	Adiabatic Algorithms
quant-ph/0202173	pdf-only	pdf/0202/0202173v1.pdf	Machine Learning
